FuncID,Name,Type,Desc,nb1_mean,nb1_std,nb1_best,nb1_worst,nb1_median,nb2_mean,nb2_std,nb2_best,nb2_worst,nb2_median,sig_nb2,p_nb2,nb3_mean,nb3_std,nb3_best,nb3_worst,nb3_median,sig_nb3,p_nb3,nb5_mean,nb5_std,nb5_best,nb5_worst,nb5_median,sig_nb5,p_nb5,nb7_mean,nb7_std,nb7_best,nb7_worst,nb7_median,sig_nb7,p_nb7,nb9_mean,nb9_std,nb9_best,nb9_worst,nb9_median,sig_nb9,p_nb9,fr_nb1,fr_nb2,fr_nb3,fr_nb5,fr_nb7,fr_nb9,best_nb
11,F11,Multimodal,Shifted Weierstrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,0.13266120761243957,0.3382210431563066,0.0,0.9949590570932969,0.0,-,0.0455002638963584,28.67461693698551,14.548989446010644,0.0,44.09133980538934,35.18820559744958,-,2.5613577487758663e-06,48.30903212939995,18.65415620885508,0.9949590570932969,66.77481562266098,53.9655055120389,-,1.733306644199106e-06,66.09182426522672,14.186884170379196,1.9899181141865938,84.88871923453596,69.2398890875567,-,1.862645149230957e-09,1.5,1.5,3.0,4.0,5.0,6.0,1
12,F12,Multimodal,Schwefel 2.13,2.6441515880530156e-08,1.4239187854489e-07,0.0,7.932452490422293e-07,0.0,9.210871591373386e-09,4.190400166165373e-08,0.0,2.3048181674312218e-07,0.0,=,1.0,0.0,0.0,0.0,0.0,0.0,+,0.039359508888249725,0.0004924135907610132,0.00265172833952094,0.0,0.014772407722830394,0.0,=,0.3400846081830643,0.0,0.0,0.0,0.0,0.0,+,0.039359508888249725,0.000328576153594895,0.0017694367388028502,0.0,0.00985728460784685,0.0,=,0.3400846081830643,4.0,3.0,1.5,6.0,1.5,5.0,3
13,F13,Multimodal,Expanded Griewank Rosenbrock,5.174808232284497,4.371547841221851,0.5177606917059023,16.34166578328356,3.515721284442506,48.265924404483684,24.623425612877742,21.454835090451468,80.86392040391812,45.173837533921755,-,1.862645149230957e-09,27.59905414009699,19.090320444708023,10.956815170771051,79.08696123667009,20.569964708008925,-,1.862645149230957e-09,10.17405340880468,1.2801426216601612,7.437045846917556,13.36345268605615,10.079616390561632,-,5.973502993583679e-06,1.0589144478510633,2.4244214943674542,1.3570170267485082e-06,12.209356692099163,0.23728540147649824,+,6.286613643169403e-05,0.2751517579719613,0.9936213689031375,4.920389926610369e-07,3.9925952377618046,0.005475775396348581,+,1.6391277313232422e-07,3.0,6.0,5.0,4.0,2.0,1.0,9
14,F14,Multimodal,Expanded Scaffer F6,2.537925798131724e-05,1.0653463268019862e-05,9.475494650246219e-06,4.9193437348549196e-05,2.318874902274004e-05,6.788663261166524e-10,2.675160698657057e-10,2.022204625973245e-10,1.5376926398857904e-09,5.993356921862869e-10,+,1.862645149230957e-09,2.181484622572801e-12,7.083946761109853e-13,1.0942358130705543e-12,3.694822225952521e-12,2.234656903965515e-12,+,1.862645149230957e-09,2.8895404587577406e-14,3.4683212498993683e-15,2.1316282072803006e-14,3.552713678800501e-14,2.842170943040401e-14,+,1.862645149230957e-09,1.660893644839234e-14,3.120444376491596e-15,1.4210854715202004e-14,2.1316282072803006e-14,1.4210854715202004e-14,+,1.862645149230957e-09,1.8237263551175906e-14,3.996693235489631e-15,1.4210854715202004e-14,2.6645352591003757e-14,1.9539925233402755e-14,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,1.0,2.0,7
15,F15,Hybrid,Hybrid Composition 1,19.27657660012771,3.589002867750772,2.842170943040401e-14,20.014894810381904,20.009211316374298,20.091298497504834,0.009589387241597653,20.072601333673916,20.112375826480346,20.090854956690457,-,1.862645149230957e-09,20.185470939528702,0.016799276263355385,20.142664809752077,20.211305588374458,20.18824763380433,-,1.862645149230957e-09,20.342336987458474,0.032834265224199244,20.242568784231537,20.385064806403292,20.349281172506842,-,1.862645149230957e-09,20.454645003223973,0.03064275618983298,20.382889632962716,20.506524560847737,20.459935295683294,-,1.862645149230957e-09,20.552293171984257,0.035640706409238325,20.473819531625224,20.602751916751473,20.55972734633425,-,1.862645149230957e-09,1.0,2.0,3.0,4.0,5.0,6.0,1
16,F16,Hybrid,Hybrid Composition 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,0.06633060380621979,0.248186393700718,0.0,0.9949590570932969,0.0,=,0.15729920705028502,31.195503342273295,15.002768178163757,0.0,48.105221745122236,35.79449168507011,-,3.786882511451119e-06,53.17311257079525,15.467241361247227,0.9949590570932969,80.54161510790823,55.55098698688123,-,1.862645149230957e-09,67.5628163126154,16.439390815505224,1.9899181141865938,88.8063555175952,68.92747261970504,-,1.862645149230957e-09,1.5,1.5,3.0,4.0,5.0,6.0,1
17,F17,Hybrid,Hybrid Composition 3,3.031649005909761e-12,1.6294271749912343e-11,0.0,9.07789399207104e-11,0.0,2.360432442098196e-09,1.2711317716805755e-08,0.0,7.081297326294589e-08,0.0,=,0.4922069926558157,0.0,0.0,0.0,0.0,0.0,=,0.05878172135535886,0.0,0.0,0.0,0.0,0.0,=,0.05878172135535886,0.0,0.0,0.0,0.0,0.0,=,0.05878172135535886,3.789561257387201e-15,1.4179239871335166e-14,0.0,5.684341886080802e-14,0.0,=,0.25683925795785656,5.0,6.0,2.0,2.0,2.0,4.0,3
18,F18,Hybrid,Hybrid Composition 4,6.531411361381326,4.775846419369061,0.5656596481542238,16.807954928393087,4.510531552805048,31.176452566433,18.863195238881627,17.366860132342367,85.10714352953141,23.98892684292531,-,1.862645149230957e-09,29.13823871574256,20.632073551078125,15.149231106972422,84.68089199059989,21.21208149840001,-,1.862645149230957e-09,12.7827965771268,15.524217843461983,0.00157864870686808,68.69709341627333,9.718054490950522,-,0.034536734223365784,0.529916122816951,1.2380512037584668,6.3813305359872174e-06,5.9344131716605375,0.18040163215300709,+,5.718320608139038e-07,0.14135723994367594,0.7141689912653602,4.4341635430100723e-07,3.9871424907551045,0.008307518574582673,+,3.725290298461914e-09,3.0,6.0,5.0,4.0,2.0,1.0,9
19,F19,Hybrid,Rotated Hybrid Composition 1,2.334253665215632e-05,8.079006558036498e-06,9.199188355069055e-06,4.7607423539375304e-05,2.150304919723567e-05,6.868030292631981e-10,2.7705659447833483e-10,2.5625013222452253e-10,1.5010641618573572e-09,5.937863534200005e-10,+,1.862645149230957e-09,2.2945793413479502e-12,7.323002338179313e-13,1.0231815394945443e-12,4.092726157978177e-12,2.3874235921539366e-12,+,1.862645149230957e-09,1.7810937909719844e-13,2.426503153641249e-14,1.1368683772161603e-13,2.2737367544323206e-13,1.7053025658242404e-13,+,1.862645149230957e-09,1.4210854715202004e-13,2.842170943040401e-14,1.1368683772161603e-13,1.7053025658242404e-13,1.4210854715202004e-13,+,1.862645149230957e-09,1.2505552149377764e-13,2.2737367544323207e-14,1.1368683772161603e-13,1.7053025658242404e-13,1.1368683772161603e-13,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,2.0,1.0,9
20,F20,Hybrid,Rotated Hybrid Composition 2,18.956985691520963,3.729664433948341,2.2737367544323206e-13,20.009716861564243,19.988658178565004,20.06732411607622,0.00998385586806512,20.041642757305567,20.08379364230484,20.065732278446546,-,1.862645149230957e-09,20.15321382164972,0.019573122576122405,20.095383514508626,20.18696677881576,20.15652671231146,-,1.862645149230957e-09,20.296685106711127,0.030425469034854515,20.2345843110146,20.342692761268154,20.306582756399393,-,1.862645149230957e-09,20.416787792088893,0.031266866362371526,20.368940286533416,20.487517090747474,20.407912314280566,-,1.862645149230957e-09,20.518334117200787,0.04093914104960257,20.43404162319564,20.58952673014494,20.524076000808122,-,1.862645149230957e-09,1.0,2.0,3.0,4.0,5.0,6.0,1
21,F21,Hybrid,Rotated Hybrid Composition 3,0.0,0.0,0.0,0.0,0.0,0.033165301903109894,0.1786006166266184,0.0,0.9949590570932969,0.0,=,0.31731050786291415,0.0,0.0,0.0,0.0,0.0,=,,26.435731076373806,16.408924874445788,0.0,48.18255996639857,33.29190093151351,-,5.601761882966655e-06,47.601360914511964,22.69647386798947,0.9949590570934106,68.50154774844123,56.63652466433257,-,1.7300371292901245e-06,61.047180120683684,19.950730618448073,1.9899252649681785,82.471188434802,66.29323989963848,-,1.862645149230957e-09,1.5,3.0,1.5,4.0,5.0,6.0,1
22,F22,Hybrid,Rotated Hybrid Composition 4,1.1368683772161604e-14,3.4106051316484814e-14,0.0,1.1368683772161603e-13,0.0,7.579122514774402e-15,2.8358479742670333e-14,0.0,1.1368683772161603e-13,0.0,=,0.6547208460185769,2.338159295807903e-12,1.2591373153259112e-11,0.0,7.014477887423709e-11,0.0,=,1.0,7.579122514774402e-15,2.8358479742670333e-14,0.0,1.1368683772161603e-13,0.0,=,0.6547208460185769,0.0004926592251649709,0.0026530511212474435,0.0,0.014779776754835439,0.0,=,1.0,0.0006572137611253007,0.002458822382393261,0.0,0.00985728460784685,0.0,=,0.16820413904818,3.0,1.5,4.0,1.5,5.0,6.0,2
23,F23,Hybrid,Non-Continuous Hybrid,7.989435212032171,7.605769332227965,0.9521033122663312,30.52162163437913,4.426694232716386,35.39440777285554,21.513521857897345,17.651197064719327,80.24180805067647,24.204927172400744,-,9.313225746154785e-09,33.68474950990996,22.450151516502718,18.051257122764923,85.921317795209,22.302521456182888,-,3.725290298461914e-09,10.450440682397948,3.7320596134748643,0.04167358069230431,17.785518171363492,10.252845624728081,=,0.0635564886033535,0.6093739444139828,1.0893722839502107,4.158470574111561e-06,4.03740301665573,0.2881586622501118,+,3.5390257835388184e-08,0.3981577114610938,1.5250513406446564,2.233231271020486e-07,7.654842440354173,0.004121239873086324,+,3.725290298461914e-09,3.0,6.0,5.0,4.0,2.0,1.0,9
24,F24,Hybrid,Rotated Non-Continuous,2.6160351346031045e-05,8.344195603629563e-06,8.580307849115343e-06,4.765904259329545e-05,2.6890582546457154e-05,7.637481758138165e-10,3.8094554992941207e-10,2.7000623958883807e-10,1.9113031157758087e-09,6.545519681822043e-10,+,1.862645149230957e-09,2.4442670110147446e-12,7.720388245402268e-13,1.4779288903810084e-12,5.115907697472721e-12,2.2737367544323206e-12,+,1.862645149230957e-09,3.1832314562052486e-13,4.547473508864641e-14,2.2737367544323206e-13,3.410605131648481e-13,3.410605131648481e-13,+,1.862645149230957e-09,2.652692880171041e-13,5.35924892564062e-14,2.2737367544323206e-13,3.410605131648481e-13,2.2737367544323206e-13,+,1.862645149230957e-09,2.4253192047278086e-13,3.86460935987451e-14,2.2737367544323206e-13,3.410605131648481e-13,2.2737367544323206e-13,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,2.0,1.0,9
25,F25,Hybrid,Scaffer Hybrid,18.116132955770777,4.908858355673343,7.246399036375806e-09,20.00935425119883,20.005729260105795,20.061598742709354,0.007355960974906069,20.04601436121561,20.07371858516717,20.06283841230936,-,1.862645149230957e-09,20.136251074573504,0.02187397009213929,20.07681502817036,20.170997448323533,20.139335103321173,-,1.862645149230957e-09,20.275226770687194,0.025363880005437784,20.227381249468635,20.33192253394327,20.278428446786393,-,1.862645149230957e-09,20.375384593016353,0.03751563607317139,20.244778070320763,20.431198295707873,20.380406229349546,-,1.862645149230957e-09,20.453037399713388,0.03302787782889052,20.385349490726867,20.503152122593974,20.458395523104628,-,1.862645149230957e-09,1.0,2.0,3.0,4.0,5.0,6.0,1
26,F26,Hybrid,Rotated Scaffer Hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,29.471335410375218,14.92332291605693,0.0,44.89410164319315,35.513222072556346,-,2.5630832507250074e-06,50.575115158650426,17.649252984166,0.0,74.34199689849379,53.88857736428258,-,2.5630832507250074e-06,63.34109768960216,18.251648908367557,0.9949590570934106,84.14530668616726,67.09551912025881,-,1.862645149230957e-09,2.0,2.0,2.0,4.0,5.0,6.0,1
27,F27,Hybrid,Expanded Hybrid 1,3.031649005909761e-14,7.72921871974902e-14,0.0,2.2737367544323206e-13,0.0,7.579122514774402e-15,4.081482383552386e-14,0.0,2.2737367544323206e-13,0.0,=,0.17971249487899976,0.0,0.0,0.0,0.0,0.0,+,0.0455002638963584,0.00024653467780808567,0.001327629870670347,0.0,0.007396040334242571,0.0,=,0.4795001221869535,0.0,0.0,0.0,0.0,0.0,+,0.0455002638963584,0.0,0.0,0.0,0.0,0.0,+,0.0455002638963584,5.0,4.0,2.0,6.0,2.0,2.0,3
28,F28,Hybrid,Expanded Hybrid 2,1.8331714420733003,1.3179327198112882,0.04454719907039362,5.28297262688443,1.5262547423786827,26.129186338682384,15.081409909890008,1.6990383737543198,80.77082108836271,24.105963628279824,-,1.862645149230957e-09,23.04039288754211,10.595191357419191,11.935749934439627,78.71478257530543,21.49738832676894,-,1.862645149230957e-09,11.648296914016889,11.345512803310717,2.66826812094223e-05,68.27799010379795,10.59076948280756,-,8.009374141693115e-08,0.7024085986749924,1.2539490462149923,6.122342938397196e-06,4.454647760111811,0.16248743262792686,+,0.0009517744183540344,0.006228273841960193,0.00496973702849077,0.0004470598280477134,0.024521643370462698,0.005021211978601059,+,1.862645149230957e-09,3.0,6.0,5.0,4.0,2.0,1.0,9
