FuncID,Name,Type,Desc,nb1_mean,nb1_std,nb1_best,nb1_worst,nb1_median,nb2_mean,nb2_std,nb2_best,nb2_worst,nb2_median,sig_nb2,p_nb2,nb3_mean,nb3_std,nb3_best,nb3_worst,nb3_median,sig_nb3,p_nb3,nb5_mean,nb5_std,nb5_best,nb5_worst,nb5_median,sig_nb5,p_nb5,nb7_mean,nb7_std,nb7_best,nb7_worst,nb7_median,sig_nb7,p_nb7,nb9_mean,nb9_std,nb9_best,nb9_worst,nb9_median,sig_nb9,p_nb9,fr_nb1,fr_nb2,fr_nb3,fr_nb5,fr_nb7,fr_nb9,best_nb
1,F1,Unimodal,Sphere,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,,3.5,3.5,3.5,3.5,3.5,3.5,1
2,F2,Unimodal,Schwefel 1.2,15107.404139233664,2868.695935949814,10658.13950721266,21576.976672157394,15373.894197784168,5845.39079744135,888.7277509851615,3902.3214862506693,7925.1622684440845,5872.661023375941,+,1.862645149230957e-09,4669.1976123745735,647.0582378827635,3227.295183939802,6085.874825453078,4626.802385844105,+,1.862645149230957e-09,5296.558478308413,888.9478364911064,2963.560315216124,7049.44169425134,5421.522307426512,+,1.862645149230957e-09,7492.043930096057,935.0359402555623,5316.963937164249,9886.156811621357,7508.870574550314,+,1.862645149230957e-09,10649.026841822784,1364.7822225375598,6478.522369342796,13206.971320293786,10853.980678934538,+,1.0244548320770264e-07,6.0,3.0,1.0,2.0,4.0,5.0,3
3,F3,Unimodal,Rotated Elliptic,2.1979455292845766e-13,4.081482383552387e-14,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,0.31731050786291415,2.1979455292845766e-13,4.081482383552386e-14,0.0,2.2737367544323206e-13,2.2737367544323206e-13,=,1.0,2.1221543041368326e-13,5.6716959485340666e-14,0.0,2.2737367544323206e-13,2.2737367544323206e-13,=,0.5637028616507731,2.1221543041368326e-13,5.6716959485340666e-14,0.0,2.2737367544323206e-13,2.2737367544323206e-13,=,0.5637028616507731,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,=,0.31731050786291415,3.5,5.5,3.5,1.5,1.5,5.5,5
4,F4,Unimodal,Schwefel 1.2 Noise,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,3.5,3.5,3.5,3.5,3.5,3.5,1
5,F5,Unimodal,Schwefel 2.6,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,,3.5,3.5,3.5,3.5,3.5,3.5,1
6,F6,Multimodal,Shifted Rosenbrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,59.14320523132586,6.581905220968883,37.562330908329386,71.30208041773994,60.43588194592638,-,1.862645149230957e-09,128.505654977852,9.65567873907859,102.20143777158682,143.7963379818466,129.5140779013202,-,1.862645149230957e-09,173.16066682787704,9.032545210085678,142.58281821931496,190.34643824622185,172.50267687348236,-,1.862645149230957e-09,208.64715850895172,12.146088105529515,180.73155769645916,230.38224150566487,210.2334486147805,-,1.862645149230957e-09,1.5,1.5,3.0,4.0,5.0,6.0,1
7,F7,Multimodal,Shifted Griewank,1.1747639897900324e-13,2.040741191776193e-14,1.1368683772161603e-13,2.2737367544323206e-13,1.1368683772161603e-13,1.1747639897900324e-13,2.040741191776193e-14,1.1368683772161603e-13,2.2737367544323206e-13,1.1368683772161603e-13,=,1.0,2.8421709430404007e-13,8.974541989148751e-13,1.1368683772161603e-13,5.115907697472721e-12,1.1368683772161603e-13,=,0.4142161782425252,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,=,0.31731050786291415,1.1747639897900324e-13,2.0407411917761933e-14,1.1368683772161603e-13,2.2737367544323206e-13,1.1368683772161603e-13,=,1.0,1.0989727646422883e-13,2.040741191776193e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,=,0.15729920705028502,4.0,4.0,6.0,2.0,4.0,1.0,9
8,F8,Multimodal,Shifted Ackley,27.454718768059667,15.283708757488709,3.2538185418387684,74.1323789108236,27.201903182328635,46.26632197022077,14.736232580632727,33.19362670776127,100.81577532994083,43.443867208800725,-,9.220093488693237e-06,44.026909852915566,4.92452694719571,40.88678954184877,68.91492916033019,42.93997182954331,-,6.917864084243774e-06,39.21246507267517,9.204408238730394,35.93632118093194,88.30678604112029,37.33532244556426,-,0.0009517744183540344,29.28102839831704,1.6123945761372307,26.78614290407245,32.948627581913,28.9775001134808,=,0.3492113798856735,20.530230904277914,1.6721238905056777,17.850678704000984,23.857149227857235,20.079586019924875,+,0.03841841779649258,2.0,6.0,5.0,4.0,3.0,1.0,9
9,F9,Multimodal,Shifted Rastrigin,0.25872501045777957,0.043305240834765675,0.16930667239074637,0.3659368893338524,0.2591167338275966,0.005167615586589136,0.0008897763608979823,0.003572774635301812,0.007291681792537474,0.005014908324540102,+,1.862645149230957e-09,0.0003168085771979653,5.5576456067946224e-05,0.00023088139033689004,0.0004793843917241247,0.0003026971746749041,+,1.862645149230957e-09,1.448144078040059e-05,2.9375475480581835e-06,9.869876009815925e-06,2.0589253040270705e-05,1.4204879533963322e-05,+,1.862645149230957e-09,5.7022427066992044e-06,1.0996530902870454e-06,2.9405636041701655e-06,8.913806482269138e-06,5.711551011700067e-06,+,1.862645149230957e-09,7.0467022017813486e-06,2.336121082971847e-06,3.6955432278773515e-06,1.3043462161022035e-05,6.744647180312313e-06,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,1.0,2.0,7
10,F10,Multimodal,Shifted Rastrigin Rot.,20.013423234372112,0.0026589905767888627,20.006377548875037,20.01761675004974,20.01384475544768,20.080340671931555,0.0077853914432672,20.063399651350153,20.095319834916836,20.0806636806019,-,1.862645149230957e-09,20.167098973321814,0.015953268970080467,20.133664885010717,20.194319740184028,20.169076027303618,-,1.862645149230957e-09,20.32366710112093,0.021800010983453546,20.284011951514685,20.363342653044242,20.322683006498806,-,1.862645149230957e-09,20.447198101547013,0.02264575912484521,20.39285864831197,20.496861381545102,20.448904107986266,-,1.862645149230957e-09,20.531947210876957,0.028086841659210045,20.46006990152125,20.584704939819687,20.53765753869024,-,1.862645149230957e-09,1.0,2.0,3.0,4.0,5.0,6.0,1
