Function,Mean,Std,Best,Worst,Median,N_runs
F1,390.9948626087875,188.0054303237031,9.622091274871934,862.8904963659797,430.25766821944916,30
F2,36.77029965032787,13.76088593354088,1.9964556447754376,49.084500115189314,44.85897608383843,30
F3,0.0,0.0,0.0,0.0,0.0,30
F4,140.6604257252447,16.436396463940156,106.0037045925053,184.12864667400947,143.49639931795633,30
F5,1.147997366884124,0.3935624335493487,0.4736067196740805,2.071279709782516,1.235220982340934,30
F6,84879.0208444404,25553.546386365826,42262.964946168475,141545.26475762375,76375.08021002631,30
F7,179.30523858486612,25.529919453176674,224.65887158679266,133.4717534800061,179.20010908922336,30
F8,5.559171130304814,80.67629783914596,168.6559434900862,149.05971456556017,1.098853412963308,30
F9,336.4057016312485,0.5625346395697626,335.70986763448354,337.9786233517352,336.2674036690212,30
F10,3148.953001060644,323.8907417104218,4125.312927940039,2592.4945321740697,3134.4039233607828,30
F11,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,30
F12,212.16690742034805,6.513968949767208,193.63474667307946,220.21296333079272,214.4664523107872,30
